flower,plant_type,color,hardiness_zones,blooms_in,height,soil_needs,sun_needs,water_needs,maintenance,images
Kalanchoe (Kalanchoe),"Cactus - Succulents, Perennials, Shrubs"," Kalanchoe comes in variety of colors, including orange, pink, red, white and many variations thereof.",9-11,"Spring, Autumn, Winter, Summer","Most species are less than 1 m (3 ft), with the exception of Kalanchoe beharensis from Madagascar which can reach the height of 6 m (20 ft).","Kalanchoe plants do best in well drained soil, with a pH between 5.0 and 6.5.","Full sun, Partial sun",low,low,"images/kalanchoe_0.jpg, images/kalanchoe_1.jpg, images/kalanchoe_2.jpg, images/kalanchoe_3.jpg, images/kalanchoe_4.jpg, images/kalanchoe_5.jpg, images/kalanchoe_6.jpg, images/kalanchoe_7.jpg"
Kalmia (Spoonwood),Shrubs,"Kalmia flowers are usually pink, purple, lavender or white. ",4-9,"Spring, Summer",Kalmia range from 25 cm (1 ft) to 5 metres (16 ft) in height.,"The plant prefers moist, well drained and acidic soil.","Full sun, Partial sun",avarage,low,"images/kalmia_0.jpg, images/kalmia_1.jpg, images/kalmia_2.jpg, images/kalmia_3.jpg, images/kalmia_4.jpg, images/kalmia_5.jpg, images/kalmia_6.jpg, images/kalmia_7.jpg, images/kalmia_8.jpg"
Kerria (Japanese kerria; Japanese rose),Shrubs,Kerria flowers are bright yellow.,4-9,"Spring, Summer",Kerria can grow up to 3 metres (10 ft) in height.,"Kerria japonica grows best in moist, well drained and slightly acidic soil.",Partial sun,avarage,low,"images/kerria_0.jpg, images/kerria_1.jpg, images/kerria_2.jpg, images/kerria_3.jpg, images/kerria_4.jpg, images/kerria_5.jpg"
Kniphofia (Red Hot Pokers; Torch Lily; Tritoma),Perennials,"Kniphofia blooms in shades of red, orange, yellow and cream. They change color as the flower matures, which results in a bicolor look.",5-10,"Spring, Autumn, Summer",Kniphofia can grow up to 2 metres (7 ft) high.,"The plant will grow in moist and well drained soil that is neutral, alkaline or acidic.",Full sun,avarage,low,"images/kniphofia_0.jpg, images/kniphofia_1.jpg, images/kniphofia_2.jpg, images/kniphofia_3.jpg, images/kniphofia_4.jpg"
Kolkwitzia (Beauty bush),Shrubs,"Kolkwitzia flowers are soft pink to white, each with a yellow troat.",4-8,"Spring, Summer",Kolkwitzia amabilis can grow up to 3 metres (10 ft) in height.,"Kolkwitzia amabilis prefers fertile and moist, but well drained soil. It can tolerate acid to alkaline soil, with a pH between 5.0 and 8.0.","Full sun, Partial sun",avarage,low,"images/kolkwitzia_0.jpg, images/kolkwitzia_1.jpg, images/kolkwitzia_2.jpg, images/kolkwitzia_3.jpg, images/kolkwitzia_4.jpg, images/kolkwitzia_5.jpg, images/kolkwitzia_6.jpg, images/kolkwitzia_7.jpg"
Kunzea (Kunzea),"Shrubs, Trees","Kunzea flowers come in various colors including white, yellow, pink, purple and red.",7-10,"Autumn, Winter, Summer",They range in size from small ground covers to 10 metre (32 ft) trees.,"Kunzea prefers moist and well drained soil, but will grow in a variety of soils with a pH range of 6.0 to 8.0.","Full sun, Partial sun",avarage,low,"images/kunzea_0.jpg, images/kunzea_1.jpg, images/kunzea_2.jpg, images/kunzea_3.jpg, images/kunzea_4.jpg, images/kunzea_5.jpg, images/kunzea_6.jpg, images/kunzea_7.jpg, images/kunzea_8.jpg, images/kunzea_9.jpg, images/kunzea_10.jpg"
Lantana (Shrub Verbena),"Annuals, Perennials, Shrubs","Lantana come in a rainbow of colors including red, orange, pink, lavender, yellow, white or a mixture of these and will often display different colors in the center and on the edges.",8-11,"Spring, Autumn, Summer","Lantana range in size from 25 cm to 1,2 metres (10 inches to 4 ft) tall.","Lantana prefers moist, but well drained soil, with a pH between 6.5 and 7.5.",Full sun,avarage,low,"images/lantana_0.jpg, images/lantana_1.jpg, images/lantana_2.jpg, images/lantana_3.jpg, images/lantana_4.jpg, images/lantana_5.jpg, images/lantana_6.jpg"
Lathyrus (Sweet Pea ),"Annuals, Climbers, Perennials","Sweet Pea flowers come in a wide variety of colors, including white, cream, yellow, red, scarlet, pink, salmon, magenta, purple, lavender and blue.",2-11,"Spring, Autumn, Summer","These plants range from 30 cm (1 ft) to 280 cm (9 ft) tall, depending on variety.","The plant grows in moist and well drained soil and will survive in acid, alkaline and neutral soil.",Full sun,avarage,low,"images/lathyrus_0.jpg, images/lathyrus_1.jpg, images/lathyrus_2.jpg, images/lathyrus_3.jpg, images/lathyrus_4.jpg, images/lathyrus_5.jpg, images/lathyrus_6.jpg"
Lavandula (Lavender),"Herbs, Perennials, Shrubs","Lavender comes in a wide range of purple colors, but also can be found in white, pink and blue colors.",5-10,"Spring, Autumn, Summer",Lavender can grow from 30 to 90 cm (1 to 3 ft) tall.,Well drained.,Full sun,low,medium,"images/lavandula_0.jpg, images/lavandula_1.jpg, images/lavandula_2.jpg, images/lavandula_3.jpg, images/lavandula_4.jpg, images/lavandula_5.jpg, images/lavandula_6.jpg, images/lavandula_7.jpg, images/lavandula_8.jpg, images/lavandula_9.jpg, images/lavandula_10.jpg, images/lavandula_11.jpg, images/lavandula_12.jpg, images/lavandula_13.jpg, images/lavandula_14.jpg, images/lavandula_15.jpg"
Leontopodium (Edelweiss),Perennials,"This plant has small, yellow clustered florets.",4-9,"Spring, Autumn, Summer",The plant reaches about 30 cm (1 ft) in height.,Leontopodium needs good drainage and pH between 6.5 and 7.5 (slightly alkaline to medium acidity).,"Full sun, Partial sun",avarage,low,"images/leontopodium_0.jpg, images/leontopodium_1.jpg, images/leontopodium_2.jpg, images/leontopodium_3.jpg, images/leontopodium_4.jpg, images/leontopodium_5.jpg"
Leucojum (Snowflake),"Bulbs, Perennials",Leucojum has white flowers with faint green tips.,3-9,"Spring, Summer",Leucojum can grow up to 60 cm (2 ft) high.,"These plants are not fussy about soil type, but they bloom best in a soil that's rich, moist and well-drained.","Full sun, Partial sun",avarage,low,"images/leucojum_0.jpg, images/leucojum_1.jpg, images/leucojum_2.jpg, images/leucojum_3.jpg, images/leucojum_4.jpg, images/leucojum_5.jpg, images/leucojum_6.jpg, images/leucojum_7.jpg"
Lewisia (Lewisia),Perennials,"Lewisia flowers come in shades of white, pink, purple, orange and red.",3-8,"Spring, Autumn, Summer","Lewisia is a small plant, growing up to 30 cm (1 ft) in height.","Lewisia prefers moderately fertile and well drained soil, with a ph value between 5.0 and 8.0. It is drought tolerant and thrives in poor and dry soils.","Full sun, Partial sun",low,low,"images/lewisia_0.jpg, images/lewisia_1.jpg, images/lewisia_2.jpg, images/lewisia_3.jpg, images/lewisia_4.jpg, images/lewisia_5.jpg, images/lewisia_6.jpg, images/lewisia_7.jpg"
Liatris (Blazing Star; Gayfeather),Perennials,"Liatris blooms in shades of purple, lavender, pink, white, rose and violet.   ",3-10,"Autumn, Summer",Blazing Stars can grow up to 150 cm (5 ft) in height.,"Liatris will grow best in sandy or loamy soil, with a pH between 5.5 and 7.5. Plant Liatris in tough soil conditions with good drainage.",Full sun,avarage,low,"images/liatris_0.jpg, images/liatris_1.jpg, images/liatris_2.jpg, images/liatris_3.jpg, images/liatris_4.jpg, images/liatris_5.jpg, images/liatris_6.jpg, images/liatris_7.jpg, images/liatris_8.jpg"
Lilium (Lily),"Bulbs, Perennials","Lilies come in a large variety of colors and the most common are white, yellow, orange and red.",3-9,"Spring, Autumn, Summer","Some species are small, about 30 cm or 1 ft (such as Dwarf Asiatic Lilies), while others can reach the height of 270 cm or 9 ft (Lilium Superbum).","Lilies prefer moist and well drained soil, and they will perform best in soil that is slightly acidic.","Full sun, Partial sun",avarage,low,"images/lilium_0.jpg, images/lilium_1.jpg, images/lilium_2.jpg, images/lilium_3.jpg, images/lilium_4.jpg, images/lilium_5.jpg, images/lilium_6.jpg, images/lilium_7.jpg, images/lilium_8.jpg, images/lilium_9.jpg, images/lilium_10.jpg, images/lilium_11.jpg, images/lilium_12.jpg"
Limonium (Sea Lavender; Statice),"Annuals, Perennials, Shrubs","The flowers are blue, purple, pink, yellow or white. ",3-11,"Spring, Summer",The plant can grow up to 90 cm (3 ft) in height.,"The plant prefers rich and well-drained soil in full sun. It is not particular as to soil pH, but grows best in sandy soils.",Full sun,low,low,"images/limonium_0.jpg, images/limonium_1.jpg, images/limonium_2.jpg, images/limonium_3.jpg, images/limonium_4.jpg, images/limonium_5.jpg, images/limonium_6.jpg, images/limonium_7.jpg, images/limonium_8.jpg, images/limonium_9.jpg, images/limonium_10.jpg"
Lobelia (Lobelia),"Annuals, Perennials, Shrubs","Lobelia flowers come in shades of blue, white, pink, red and purple.",3-9,"Spring, Autumn, Summer",The plant ranges in height from 15 cm (6 inches)  to 150 cm (5 ft).,"Lobelia prefers rich, moist and well drained soil, with a pH level from 6.0 to 7.5.","Full sun, Partial sun",avarage,low,"images/lobelia_0.jpg, images/lobelia_1.jpg, images/lobelia_2.jpg, images/lobelia_3.jpg, images/lobelia_4.jpg, images/lobelia_5.jpg, images/lobelia_6.jpg, images/lobelia_7.jpg, images/lobelia_8.jpg"
Lupinus (Lupine; Lupin),"Annuals, Perennials","Lupin flowers are usually blue or purple, but sometimes pink, yellow and white.",4-8,"Spring, Summer","Lupinus can grow from 30 cm to 1,5 m (1 to 5 ft) in height.","Lupinus grows best in well drained, neutral to slightly acidic soil.","Full sun, Partial sun",avarage,low,"images/lupinus_0.jpg, images/lupinus_1.jpg, images/lupinus_2.jpg, images/lupinus_3.jpg, images/lupinus_4.jpg, images/lupinus_5.jpg, images/lupinus_6.jpg, images/lupinus_7.jpg, images/lupinus_8.jpg, images/lupinus_9.jpg, images/lupinus_10.jpg, images/lupinus_11.jpg, images/lupinus_12.jpg"
Lycoris (Spider Lily),"Bulbs, Perennials","Lycoris flowers come in shades of red, pink, orange, white and yellow.",5-10,"Spring, Autumn, Summer",Lycoris grows to 60 cm (2 ft) in height.,"Lycoris prefers soils that are rich, medium moist and well-drained. They are not fussy about the soil pH.","Full sun, Partial sun",avarage,low,"images/lycoris_0.jpg, images/lycoris_1.jpg, images/lycoris_2.jpg, images/lycoris_3.jpg, images/lycoris_4.jpg, images/lycoris_5.jpg, images/lycoris_6.jpg, images/lycoris_7.jpg, images/lycoris_8.jpg, images/lycoris_9.jpg, images/lycoris_10.jpg, images/lycoris_11.jpg, images/lycoris_12.jpg"
Magnolia (Magnolia),"Shrubs, Trees","Magnolia produces white, purple, pink and yellow flowers, depending on variety. ",4-9,"Spring, Summer","The trees can grow to a height of 20 metres (65 ft), while shrubs are smaller and are 2,5 - 6 metres (8-20 ft) high.","Magnolia grows best in rich, moist, well drained and acidic soil. Magnolia species can tolerate loam, clay and sandy soils.","Full sun, Partial sun",avarage,low,"images/magnolia_0.jpg, images/magnolia_1.jpg, images/magnolia_2.jpg, images/magnolia_3.jpg, images/magnolia_4.jpg, images/magnolia_5.jpg, images/magnolia_6.jpg, images/magnolia_7.jpg"
Malva (Mallow),"Annuals, Perennials","The flowers are usually pink, purple and white.",3-10,"Spring, Autumn, Summer","This plant can grow up to 150 cm (5 ft) in height, but most of the species are smaller than that.","Mallow likes rich and well-drained soil, even slightly dry and poor. Most species prefer neutral to slightly acidic pH.","Full sun, Partial sun",avarage,low,"images/malva_0.jpg, images/malva_1.jpg, images/malva_2.jpg, images/malva_3.jpg, images/malva_4.jpg, images/malva_5.jpg, images/malva_6.jpg, images/malva_7.jpg, images/malva_8.jpg, images/malva_9.jpg, images/malva_10.jpg"
Mandevilla (Dipladenia; Rocktrumpet),"Annuals, Climbers, Perennials","Mandevilla come in shades of red, pink, white and yellow.",9-11,"Spring, Autumn, Summer","Mandevilla can grow up to 6 metres (20 ft) in height, or even more.","Mandevilla prefer rich, sandy and well drained soil with organic material added.",Partial sun,avarage,medium,"images/mandevilla_0.jpg, images/mandevilla_1.jpg, images/mandevilla_2.jpg, images/mandevilla_3.jpg, images/mandevilla_4.jpg, images/mandevilla_5.jpg"
Monarda (Bee Balm; Bergamot),Perennials,"Monarda flowers come in shades of red, pink, purple and white.",3-9,"Autumn, Summer","Different varieties vary in height, from dwarf species barely 25 cm (10 inches) tall, to ""giants"" that reach about 1,5 metres (5 ft) high.","Monarda prefers well drained soil, with a pH from 6.0 to 7.0.","Full sun, Partial sun",avarage,low,"images/monarda_0.jpg, images/monarda_1.jpg, images/monarda_2.jpg, images/monarda_3.jpg, images/monarda_4.jpg, images/monarda_5.jpg, images/monarda_6.jpg, images/monarda_7.jpg, images/monarda_8.jpg"
Muscari (Grape Hyacinth),Bulbs,"Muscari flowers are commonly blue. However, the white, pink and yellow types can also be found.",4-9,Spring,Muscari is a small plant that grows between 10 cm (4 inches) and 25 cm (10 inches) tall.,"The plant grows best in moist and well drained soil, with a pH between 6.0 and 7.0.","Full sun, Partial sun",avarage,low,"images/muscari_0.jpg, images/muscari_1.jpg, images/muscari_2.jpg, images/muscari_3.jpg, images/muscari_4.jpg, images/muscari_5.jpg"
Myosotis (Forget Me Not; Scorpion Grass),Perennials,"Flower colors can be blue, pink or white, with a yellow center.",3-9,"Spring, Summer",Myosotis can reach about 25 cm (1 ft) in height.,"The plant performs best in rich, moist and well drained soil, with a pH between 5.5 and 7.5.","Full sun, Partial sun",avarage,low,"images/myosotis_0.jpg, images/myosotis_1.jpg, images/myosotis_2.jpg, images/myosotis_3.jpg, images/myosotis_4.jpg, images/myosotis_5.jpg, images/myosotis_6.jpg"
Myrtus (Myrtle),"Shrubs, Trees",The flowers are most commonly white.,8-9,"Spring, Summer",Myrtle can grow up to 6 metres (20 ft) in height.,Grow Myrtle in moist and well drained soil.  ,"Full sun, Partial sun",avarage,low,"images/myrtus_0.jpg, images/myrtus_1.jpg, images/myrtus_2.jpg, images/myrtus_3.jpg"
Narcissus (Daffodil),Bulbs,Narcissus flowers are usually white and yellow.,3-9,Spring,"Dwarf species can reach a height of 10 cm (4 inches), while some species can grow to 80 cm (3 ft) tall.","Narcissi prefer rich and moist, but well-drained soil and will grow best in soil that is neutral to slightly acidic (pH of 6.0 - 7.0).","Full sun, Partial sun",low,low,"images/narcissus_0.jpg, images/narcissus_1.jpg, images/narcissus_2.jpg, images/narcissus_3.jpg, images/narcissus_4.jpg, images/narcissus_5.jpg, images/narcissus_6.jpg, images/narcissus_7.jpg, images/narcissus_8.jpg"
Nelumbo (Lotus; Indian lotus; Sacred lotus; American lotus),Perennials,"Nelumbo nucifera has white or pink flowers, while Nelumbo lutea has yellow ones. ",4-10,"Spring, Summer","The leaves and flowers of Nelumbo nucifera are held on stems up to 2 metres (7 ft) tall. The Nelumbo lutea are almost the same size, ranging from 80 cm to 1,5 metres (3-5 ft) in height.",Both species need rich and loamy soil.,Full sun,avarage,low,"images/nelumbo_0.jpg, images/nelumbo_1.jpg, images/nelumbo_2.jpg, images/nelumbo_3.jpg, images/nelumbo_4.jpg"
Nemesia (Nemesia),"Annuals, Perennials, Shrubs","Flowers come in shades of blue, purple, red, pink, orange, mauve, yellow, cream and white.",8-11,"Spring, Autumn, Winter, Summer",The half-inch flowers bloom on plants that grow up to 60 cm (2 ft) tall.,"Moist, but well drained.","Full sun, Partial sun",avarage,low,"images/nemesia_0.jpg, images/nemesia_1.jpg, images/nemesia_2.jpg, images/nemesia_3.jpg"
Nemophila (Baby Blue Eyes),Annuals,Nemophila flowers vary in color from a true blue to a definite purple.,2-11,"Spring, Winter","Nemophila is a small plant, rarely growing over 30 cm (1 ft) high.","The plant likes rich, moist and well drained soil. It prefers soil with a pH of 5.5 to 8.0.","Full sun, Partial sun",avarage,low,"images/nemophila_0.jpg, images/nemophila_1.jpg, images/nemophila_2.jpg, images/nemophila_3.jpg, images/nemophila_4.jpg, images/nemophila_5.jpg, images/nemophila_6.jpg, images/nemophila_7.jpg, images/nemophila_8.jpg, images/nemophila_9.jpg, images/nemophila_10.jpg, images/nemophila_11.jpg"
Nepeta (Catmint; Catnip; Cataria),Perennials,"Nepeta come in shades of blue, purple, white and even pink and yellow.",3-9,"Spring, Autumn, Summer","Nepeta can grow between 20 cm and 2 metres (8 inches to 7 ft) high, depending on variety.","Nepeta prefers moist and well drained soil, which is acidic to neutral (soil pH from 5.5 to 7.0).","Full sun, Partial sun",low,low,"images/nepeta_0.jpg, images/nepeta_1.jpg, images/nepeta_2.jpg, images/nepeta_3.jpg, images/nepeta_4.jpg, images/nepeta_5.jpg"
Nerine (Guernsey Lily),"Bulbs, Perennials","Nerine flowers come in shades of pink, orange, red and white.",8-11,"Autumn, Summer",Nerine reaches 60 cm (2 ft) in height.,Nerine likes moist and well drained soil. It is not particular as to soil type or pH.,"Full sun, Partial sun",avarage,low,"images/nerine_0.jpg, images/nerine_1.jpg, images/nerine_2.jpg, images/nerine_3.jpg, images/nerine_4.jpg, images/nerine_5.jpg, images/nerine_6.jpg"
Nigella (Love-in-a-mist; Devil-in-a-bush),Annuals,"Nigella flowers are usually white, yellow, pink or blue.",2-10,"Spring, Autumn, Summer",Nigella grows between 20 cm (8 inches) and 90 cm (3 ft) in height.,The plant prefers good drainage and average soil with a pH value between 6.0 to 7.0,"Full sun, Partial sun",avarage,low,"images/nigella_0.jpg, images/nigella_1.jpg, images/nigella_2.jpg, images/nigella_3.jpg, images/nigella_4.jpg, images/nigella_5.jpg, images/nigella_6.jpg, images/nigella_7.jpg, images/nigella_8.jpg, images/nigella_9.jpg"
Obregonia (Artichoke Cactus),Cactus - Succulents,"The plants color is gray-green, and flowers are usually white or slightly pink.",9-12,Summer,"Obregonia is small-sized plant, about 15 cm (6 inches) in height.",Obregonia performs best in well drained soil with little organic material and neutral pH.,"Full sun, Partial sun",low,medium,"images/obregonia_0.jpg, images/obregonia_1.jpg, images/obregonia_2.jpg, images/obregonia_3.jpg"
Oenothera (Evening Primrose; Sundrops; Suncups),"Annuals, Perennials","Oenothera grow in yellow, pink and white colors.",3-7,"Spring, Autumn, Summer","Oenothera vary in size, from 15 cm to 2,5 metres (6 inches to 8 ft) high.",Well drained.,"Full sun, Partial sun",avarage,low,"images/oenothera_0.jpg, images/oenothera_1.jpg, images/oenothera_2.jpg, images/oenothera_3.jpg, images/oenothera_4.jpg, images/oenothera_5.jpg, images/oenothera_6.jpg, images/oenothera_7.jpg, images/oenothera_8.jpg"
Opuntia (Prickly pear),Cactus - Succulents,"Opuntia flowers are usually yellow, sometimes red and pink, and rarely white.",6-11,"Spring, Summer","Opuntias vary in height, from dwarf species (20 cm or 8 inches) to giants (4,5 metres or 15 ft).","Opuntia need well drained soil that is acid, alkaline or neutral.","Full sun, Partial sun",low,low,"images/opuntia_0.jpg, images/opuntia_1.jpg, images/opuntia_2.jpg, images/opuntia_3.jpg, images/opuntia_4.jpg, images/opuntia_5.jpg"
Ornithogalum (Star of Bethlehem),"Bulbs, Perennials","Ornithogalum flowers come in white, yellow and orange.",4-10,"Spring, Summer",The plant can grow between 10 and 60 cm (4 inches to 2 ft) tall.,"Ornithogalum prefers moist, but well drained soil. You can grow it in any sandy or loam soil.","Full sun, Partial sun",avarage,low,"images/ornithogalum_0.jpg, images/ornithogalum_1.jpg, images/ornithogalum_2.jpg, images/ornithogalum_3.jpg, images/ornithogalum_4.jpg, images/ornithogalum_5.jpg, images/ornithogalum_6.jpg, images/ornithogalum_7.jpg"
Osteospermum (African Daisy),"Annuals, Perennials, Shrubs","Osteospermum flowers come in numerous colors and shades, including blue, purple, mauve, pink, yellow, white and cream.",9-11,"Spring, Autumn, Summer","Osteospermum reaches up to 60 cm (2 ft) tall, depending on species.",These sun-loving plants prefer well drained soil of average fertility. They do not appear to be fussy about soil pH.,Full sun,avarage,low,"images/osteospermum_0.jpg, images/osteospermum_1.jpg, images/osteospermum_2.jpg, images/osteospermum_3.jpg, images/osteospermum_4.jpg, images/osteospermum_5.jpg, images/osteospermum_6.jpg, images/osteospermum_7.jpg, images/osteospermum_8.jpg, images/osteospermum_9.jpg, images/osteospermum_10.jpg, images/osteospermum_11.jpg"
Oxalis (Wood Sorrel),"Annuals, Bulbs, Perennials","Oxalis flowers come in shades of yellow, pink, white and purple.",4-11,"Spring, Autumn, Summer",Oxalis plants can reach 7 to 30 cm (3 to 12 inches) in height.,"Oxalis prefers moist and well drained soil, but does not like to be in a soggy spot. They have no special soil requirements.","Full sun, Partial sun",avarage,low,"images/oxalis_0.jpg, images/oxalis_1.jpg, images/oxalis_2.jpg, images/oxalis_3.jpg, images/oxalis_4.jpg, images/oxalis_5.jpg, images/oxalis_6.jpg"
Paeonia (Peony),"Perennials, Shrubs","Peonies produce red, pink, purple, white and yellow flowers.",3-9,"Spring, Summer","Peonies grow from 60 to 120 cm (2-4 ft) tall. However, tree peonies can reach to 3 metres (10 ft).","Paeonia likes moist and well drained soil, with a ph level from 6.0 to 7.5.","Full sun, Partial sun",avarage,low,"images/paeonia_0.jpg, images/paeonia_1.jpg, images/paeonia_2.jpg, images/paeonia_3.jpg, images/paeonia_4.jpg, images/paeonia_5.jpg, images/paeonia_6.jpg, images/paeonia_7.jpg, images/paeonia_8.jpg, images/paeonia_9.jpg, images/paeonia_10.jpg, images/paeonia_11.jpg, images/paeonia_12.jpg"
Papaver (Poppy),"Annuals, Perennials","Papaver flowers bloom in a range of colors, from white, yellow, pink, orange and red to purple and deep plum.",3-10,"Spring, Summer",Papaver usually grows between 30-90 cm (1-3 ft) in height.,"Papaver likes well drained soil that is acidic, neutral or alkaline.","Full sun, Partial sun",avarage,low,"images/papaver_0.jpg, images/papaver_1.jpg, images/papaver_2.jpg, images/papaver_3.jpg, images/papaver_4.jpg, images/papaver_5.jpg, images/papaver_6.jpg, images/papaver_7.jpg"
Passiflora (Passion Flower; Passion Vine; Maypop),"Annuals, Climbers, Perennials, Shrubs, Trees","Though a wide range of colors exist, the most common are white and blue.",6-11,"Spring, Autumn, Summer","Sizes vary depending on the variety, from dwarf species (60 cm or 2 ft) to climbers that can reach 9 metres (30 ft).","Passiflora likes soil that is fertile, moist and well drained. Soil pH can be anywhere between 6.0 to 7.5.","Full sun, Partial sun",avarage,medium,"images/passiflora_0.jpg, images/passiflora_1.jpg, images/passiflora_2.jpg, images/passiflora_3.jpg, images/passiflora_4.jpg"
Penstemon (Beardtongue),Perennials,"Penstemon flowers come in shades of white, yellow, blue, red and purple.",3-10,"Autumn, Summer",This plant grows between 30 cm (1 ft) and 120 cm (4 ft) high.,"Most Penstemons require moist and well-drained soil. They usually grow on poor, rocky or sandy soils. This plant does not seem to be fussy about the soil pH, but prefers soil with a pH from 5.5 to 7.0.","Full sun, Partial sun",avarage,low,"images/penstemon_0.jpg, images/penstemon_1.jpg, images/penstemon_2.jpg, images/penstemon_3.jpg, images/penstemon_4.jpg, images/penstemon_5.jpg, images/penstemon_6.jpg"
Perovskia (Perovskia),"Perennials, Shrubs",Perovskia flowers come in shades of purple and blue.,4-9,"Autumn, Summer",Perovskia can grow up to 150 cm (5 ft) tall.,"This plant does not need a rich soil to grow well, but good drainage is needed. Perovskia thrives in dry soil and requires little water once established. It tolerates a wide range of soil ph. ",Full sun,low,low,"images/perovskia_0.jpg, images/perovskia_1.jpg, images/perovskia_2.jpg, images/perovskia_3.jpg, images/perovskia_4.jpg, images/perovskia_5.jpg, images/perovskia_6.jpg, images/perovskia_7.jpg"
Petunia (Petunia),"Annuals, Perennials","Petunias are available in almost all colors. The most common are white, yellow, pink, red and purple.",8-11,"Spring, Autumn, Summer",Petunia can grow from 15 cm to 120 cm (6 inches to 4 ft) in height.,"Petunia prefer fertile, moist, but well drained soil, with a pH between 6.0 and 7.0.","Full sun, Partial sun",avarage,low,"images/petunia_0.jpg, images/petunia_1.jpg, images/petunia_2.jpg, images/petunia_3.jpg, images/petunia_4.jpg"
Phlox (Phlox),"Annuals, Perennials","There are many different color varieties available - white, yellow, pink, purple, red, lavender, rose, magenta.",2-9,"Spring, Autumn, Summer",Phlox can be found in different sizes from dwarf species only around 10 cm (4 inches) in height to some reaching 120 cm (4 ft) tall.,"Moist, but well drained.","Full sun, Partial sun",avarage,medium,"images/phlox_0.jpg, images/phlox_1.jpg, images/phlox_2.jpg, images/phlox_3.jpg, images/phlox_4.jpg"
Platycodon (Balloon Flower; Chinese Bellflower; Japanese Bellflower),Perennials,"Platycodon come in purple, blue, pink and white.",3-8,"Autumn, Summer",This plant can grow nearly 60 cm (2 feet) tall.,"Platycodon will grow in any good well-drained soil, but prefers sandy soil. It will do best in a slightly acidic soil pH.","Full sun, Partial sun",avarage,low,"images/platycodon_0.jpg, images/platycodon_1.jpg, images/platycodon_2.jpg, images/platycodon_3.jpg, images/platycodon_4.jpg, images/platycodon_5.jpg, images/platycodon_6.jpg, images/platycodon_7.jpg, images/platycodon_8.jpg, images/platycodon_9.jpg, images/platycodon_10.jpg"
Plumeria (Frangipani; Hawaiian Lei Flower),"Shrubs, Trees","Plumeria flowers can be found in shades of white, yellow, pink and red.",9-11,"Spring, Autumn, Summer","Sizes vary depending on the variety. Some species can grow up to 10 metres (32 ft) in height, but dwarf varieties are also available.","Plumeria prefers moist, but well drained soil that is slightly acidic.","Full sun, Partial sun",avarage,low,"images/plumeria_0.jpg, images/plumeria_1.jpg, images/plumeria_2.jpg, images/plumeria_3.jpg, images/plumeria_4.jpg, images/plumeria_5.jpg, images/plumeria_6.jpg, images/plumeria_7.jpg, images/plumeria_8.jpg"
Primula (Primrose),Perennials,"Primula flowers come in a wide range of colors, from blue, purple, green and orange to pink, red, yellow and white.",3-9,Spring,Primula plants can grow up to 60 cm (2 ft) in height.,"Primulas prefer moist, but well drained soil and grow best in neutral or slightly acidic soil.","Full sun, Partial sun",avarage,low,"images/primula_0.jpg, images/primula_1.jpg, images/primula_2.jpg, images/primula_3.jpg"
Protea (Protea),"Shrubs, Trees","Protea flowers come in shades of white, purple, red, orange, yellow and green.",8-11,"Spring, Autumn, Winter, Summer",Protea range in height from tiny shrubs to tall trees of 10 meters (33 ft).,"The majority of species prefer well drained, sandy and slightly acidic soil (pH 5.5 to 7.0). ",Full sun,low,low,"images/protea_0.jpg, images/protea_1.jpg, images/protea_2.jpg, images/protea_3.jpg, images/protea_4.jpg, images/protea_5.jpg, images/protea_6.jpg, images/protea_7.jpg, images/protea_8.jpg, images/protea_9.jpg"
Prunus (Prunus),"Shrubs, Trees","Prunus flowers come in shades of white, pink and red.",2-9,"Spring, Autumn, Winter, Summer","The species range in height from 1,5 metres to 12 metres (5 to 40 ft) tall.","Prunus likes moist and well drained soil that is acidic, neutral or alkaline.",Full sun,avarage,low,"images/prunus_0.jpg, images/prunus_1.jpg, images/prunus_2.jpg, images/prunus_3.jpg, images/prunus_4.jpg, images/prunus_5.jpg, images/prunus_6.jpg, images/prunus_7.jpg"
Pulmonaria (Lungwort),Perennials,"Pulmonaria flowers come in shades of blue, purple, pink and white. ",3-9,"Spring, Winter",Pulmonaria can grow up to 30 cm (1 ft) tall.,Pulmonaria likes moist and well drained soil. Most of the species thrive best in soil with a pH in the 7.0 to 7.5 range.,"Partial sun, Shade",avarage,low,"images/pulmonaria_0.jpg, images/pulmonaria_1.jpg, images/pulmonaria_2.jpg, images/pulmonaria_3.jpg, images/pulmonaria_4.jpg, images/pulmonaria_5.jpg, images/pulmonaria_6.jpg, images/pulmonaria_7.jpg, images/pulmonaria_8.jpg, images/pulmonaria_9.jpg, images/pulmonaria_10.jpg, images/pulmonaria_11.jpg, images/pulmonaria_12.jpg"
Quesnelia (Quesnelia),"Cactus - Succulents, Perennials","Quesnelia flowers come in red, blue, pink and yellow.",9-12,"Spring, Winter",Quesnelia plants can grow up to 60 cm (2 ft) in height.,"Moist, but well drained.","Full sun, Partial sun, Shade",avarage,low,"images/quesnelia_0.jpg, images/quesnelia_1.jpg, images/quesnelia_2.jpg, images/quesnelia_3.jpg, images/quesnelia_4.jpg"
